hotspot_id,project_id,centroid_lat,centroid_lon,patch_count,mean_cnn_score,max_cnn_score,cnn_score_percentile,ndvi_change,ndvi_evidence,dynamic_world_evidence,temporal_evidence,spatial_evidence,feature10_evidence_class,priority_level,priority_score,evidence_summary,recommended_action
MH-001-HS-0035,MH-001,21.152187,78.932956,21,0.1734,0.2232,75.06,0.0537,0,0,Assessed via F10 NDVI change,21,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,24.5,CNN max 0.22 (75.1th pct) over 21 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-003-HS-0014,MH-003,18.94264,73.444416,1,0.1231,0.1231,15.32,-0.0833,20,0,Assessed via F10 NDVI change,1,MODERATE_SUPPORT,LOW PRIORITY,24.5,CNN max 0.12 (15.3th pct) over 1 patches. No suspicious DW transition. Moderate NDVI decline (-0.08).,Monitor / retain for future analysis
MH-001-HS-0039,MH-001,21.152072,78.923857,14,0.1277,0.2172,72.69,0.0032,0,0,Assessed via F10 NDVI change,14,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,24.3,CNN max 0.22 (72.7th pct) over 14 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-003-HS-0048,MH-003,18.914021,73.501709,52,0.1632,0.2165,72.45,0.0629,0,0,Assessed via F10 NDVI change,52,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,24.3,CNN max 0.22 (72.5th pct) over 52 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0055,MH-001,21.144431,78.925127,13,0.1679,0.2095,69.69,0.0045,0,0,Assessed via F10 NDVI change,13,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,24.2,CNN max 0.21 (69.7th pct) over 13 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-002-HS-0025,MH-002,19.587271,80.34725,1,0.1119,0.1119,11.08,-0.092,20,0,Assessed via F10 NDVI change,1,MODERATE_SUPPORT,LOW PRIORITY,24.2,CNN max 0.11 (11.1th pct) over 1 patches. No suspicious DW transition. Moderate NDVI decline (-0.09).,Monitor / retain for future analysis
MH-003-HS-0001,MH-003,18.946413,73.448189,1,0.1089,0.1089,9.93,-0.0596,20,0,Assessed via F10 NDVI change,1,MODERATE_SUPPORT,LOW PRIORITY,24.2,CNN max 0.11 (9.9th pct) over 1 patches. No suspicious DW transition. Moderate NDVI decline (-0.06).,Monitor / retain for future analysis
MH-001-HS-0038,MH-001,21.153034,78.923106,4,0.2633,0.2984,88.36,-0.0176,10,0,Assessed via F10 NDVI change,4,WEAK_SUPPORT,LOW PRIORITY,24.0,CNN max 0.30 (88.4th pct) over 4 patches. No suspicious DW transition. Minor NDVI decline (-0.02).,Monitor / retain for future analysis
MH-002-HS-0015,MH-002,19.601015,80.347789,1,0.1005,0.1005,7.06,-0.0816,20,0,Assessed via F10 NDVI change,1,MODERATE_SUPPORT,LOW PRIORITY,24.0,CNN max 0.10 (7.1th pct) over 1 patches. No suspicious DW transition. Moderate NDVI decline (-0.08).,Monitor / retain for future analysis
MH-001-HS-0044,MH-001,21.148129,78.926367,5,0.1611,0.1824,55.15,-0.0294,10,0,Assessed via F10 NDVI change,5,WEAK_SUPPORT,LOW PRIORITY,23.6,CNN max 0.18 (55.2th pct) over 5 patches. No suspicious DW transition. Minor NDVI decline (-0.03).,Monitor / retain for future analysis
MH-003-HS-0035,MH-003,18.938996,73.458492,52,0.1291,0.17,46.57,0.0508,0,0,Assessed via F10 NDVI change,52,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,23.4,CNN max 0.17 (46.6th pct) over 52 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0029,MH-001,21.161766,78.926259,5,0.137,0.1604,39.56,-0.0006,10,0,Assessed via F10 NDVI change,5,WEAK_SUPPORT,LOW PRIORITY,23.2,CNN max 0.16 (39.6th pct) over 5 patches. No suspicious DW transition. Minor NDVI decline (-0.00).,Monitor / retain for future analysis
MH-003-HS-0043,MH-003,18.938548,73.462325,11,0.1247,0.1538,34.77,0.0311,0,0,Assessed via F10 NDVI change,11,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,23.1,CNN max 0.15 (34.8th pct) over 11 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0002,MH-001,21.179535,78.91839,9,0.1892,0.2034,66.83,0.0377,0,0,Assessed via F10 NDVI change,9,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,22.1,CNN max 0.20 (66.8th pct) over 9 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0070,MH-001,21.135286,78.933328,7,0.2125,0.2736,85.44,0.0346,0,0,Assessed via F10 NDVI change,7,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,19.5,CNN max 0.27 (85.4th pct) over 7 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-003-HS-0053,MH-003,18.912625,73.502829,8,0.1316,0.1515,32.96,0.0165,0,0,Assessed via F10 NDVI change,8,NO_INDEPENDENT_SUPPORT,UNSUPPORTED / MONITOR,19.0,CNN max 0.15 (33.0th pct) over 8 patches. No suspicious DW transition. No NDVI decline.,No independent evidence; do not escalate without additional evidence
MH-001-HS-0052,MH-001,21.145623,78.932538,2,0.234,0.2458,80.85,-0.0317,10,0,Assessed via F10 NDVI change,2,WEAK_SUPPORT,LOW PRIORITY,18.9,CNN max 0.25 (80.9th pct) over 2 patches. No suspicious DW transition. Minor NDVI decline (-0.03).,Monitor / retain for future analysis
MH-001-HS-0026,MH-001,21.162197,78.931146,3,0.1287,0.1455,28.48,-0.0138,10,0,Assessed via F10 NDVI change,3,WEAK_SUPPORT,LOW PRIORITY,18.9,CNN max 0.15 (28.5th pct) over 3 patches. No suspicious DW transition. Minor NDVI decline (-0.01).,Monitor / retain for future analysis
