experiment,held_out_project,temporal_sample_id,target,cnn_score,error_type
B,MH-002,MH-002_19.602901_80.364498,0,0.3745134770870209,FP
B,MH-002,MH-002_19.602901_80.364768,0,0.08385208249092102,TN
B,MH-002,MH-002_19.602901_80.365037,0,0.082730732858181,TN
B,MH-002,MH-002_19.602901_80.365576,0,0.02631426975131035,TN
B,MH-002,MH-002_19.602901_80.365846,1,0.020060203969478607,FN
B,MH-002,MH-002_19.602901_80.366115,0,0.025603312999010086,TN
B,MH-002,MH-002_19.602901_80.366385,0,0.020146869122982025,TN
B,MH-002,MH-002_19.602901_80.366654,0,0.02146649919450283,TN
B,MH-002,MH-002_19.602901_80.366923,0,0.018026314675807953,TN
B,MH-002,MH-002_19.602901_80.367193,0,0.02223043330013752,TN
B,MH-002,MH-002_19.602901_80.367462,0,0.023003200069069862,TN
B,MH-002,MH-002_19.602901_80.367732,0,0.02397804893553257,TN
B,MH-002,MH-002_19.602901_80.368001,0,0.027472175657749176,TN
B,MH-002,MH-002_19.602901_80.368271,0,0.021653570234775543,TN
B,MH-002,MH-002_19.602901_80.36854,0,0.03069661557674408,TN
B,MH-002,MH-002_19.602901_80.36881,0,0.028891347348690033,TN
B,MH-002,MH-002_19.602901_80.369888,0,0.04424302652478218,TN
B,MH-002,MH-002_19.602632_80.364498,0,0.21090355515480042,TN
B,MH-002,MH-002_19.602632_80.365307,0,0.017591867595911026,TN
B,MH-002,MH-002_19.602632_80.365576,0,0.014421314932405949,TN
B,MH-002,MH-002_19.602632_80.365846,0,0.016196709126234055,TN
B,MH-002,MH-002_19.602632_80.366115,0,0.025900742039084435,TN
B,MH-002,MH-002_19.602632_80.366385,0,0.018017064779996872,TN
B,MH-002,MH-002_19.602632_80.366654,0,0.017391465604305267,TN
B,MH-002,MH-002_19.602632_80.366923,0,0.014673282392323017,TN
B,MH-002,MH-002_19.602632_80.367193,0,0.01733614131808281,TN
B,MH-002,MH-002_19.602632_80.367462,0,0.017499536275863647,TN
B,MH-002,MH-002_19.602632_80.367732,0,0.01825030893087387,TN
B,MH-002,MH-002_19.602632_80.368001,0,0.0210261307656765,TN
B,MH-002,MH-002_19.602632_80.368271,0,0.017684418708086014,TN
B,MH-002,MH-002_19.602632_80.36854,0,0.024620136246085167,TN
B,MH-002,MH-002_19.602632_80.36881,0,0.02240024134516716,TN
B,MH-002,MH-002_19.602362_80.364229,0,0.24262426793575287,TN
B,MH-002,MH-002_19.602362_80.365037,0,0.01264102105051279,TN
B,MH-002,MH-002_19.602362_80.365307,0,0.005612590815871954,TN
B,MH-002,MH-002_19.602362_80.365576,0,0.007264126092195511,TN
B,MH-002,MH-002_19.602362_80.365846,0,0.008295755833387375,TN
B,MH-002,MH-002_19.602362_80.366115,0,0.014719627797603607,TN
B,MH-002,MH-002_19.602362_80.366385,0,0.013137180358171463,TN
B,MH-002,MH-002_19.602362_80.366654,0,0.015507570467889309,TN
B,MH-002,MH-002_19.602362_80.366923,0,0.013046915642917156,TN
B,MH-002,MH-002_19.602362_80.367193,0,0.01468874141573906,TN
B,MH-002,MH-002_19.602362_80.367462,0,0.014301561750471592,TN
B,MH-002,MH-002_19.602362_80.367732,0,0.013749328441917896,TN
B,MH-002,MH-002_19.602362_80.368001,0,0.015683172270655632,TN
B,MH-002,MH-002_19.602362_80.368271,0,0.013909355737268925,TN
B,MH-002,MH-002_19.602362_80.36854,0,0.02163524180650711,TN
B,MH-002,MH-002_19.602362_80.36881,0,0.02287474274635315,TN
B,MH-002,MH-002_19.602362_80.369079,0,0.030612904578447342,TN
B,MH-002,MH-002_19.602362_80.369349,0,0.03040359914302826,TN
B,MH-002,MH-002_19.602362_80.369618,0,0.036586154252290726,TN
B,MH-002,MH-002_19.602093_80.363959,0,0.5400291085243225,FP
B,MH-002,MH-002_19.602093_80.364229,0,0.10954568535089493,TN
B,MH-002,MH-002_19.602093_80.364498,0,0.04223327338695526,TN
B,MH-002,MH-002_19.602093_80.365037,0,0.007185058202594519,TN
B,MH-002,MH-002_19.602093_80.365307,0,0.004698129370808601,TN
B,MH-002,MH-002_19.602093_80.365576,0,0.004237885121256113,TN
B,MH-002,MH-002_19.602093_80.365846,0,0.006094586104154587,TN
B,MH-002,MH-002_19.602093_80.366115,0,0.012058043852448463,TN
B,MH-002,MH-002_19.602093_80.366385,0,0.013298504054546356,TN
B,MH-002,MH-002_19.602093_80.366654,0,0.016256973147392273,TN
B,MH-002,MH-002_19.602093_80.366923,0,0.012844083830714226,TN
B,MH-002,MH-002_19.602093_80.367193,0,0.014149853028357029,TN
B,MH-002,MH-002_19.602093_80.367462,0,0.01065832655876875,TN
B,MH-002,MH-002_19.602093_80.367732,0,0.01116939540952444,TN
B,MH-002,MH-002_19.602093_80.368001,0,0.011856013908982277,TN
B,MH-002,MH-002_19.602093_80.368271,0,0.011009426787495613,TN
B,MH-002,MH-002_19.602093_80.36854,0,0.017074022442102432,TN
B,MH-002,MH-002_19.602093_80.36881,0,0.020189620554447174,TN
B,MH-002,MH-002_19.602093_80.369079,0,0.02829842083156109,TN
B,MH-002,MH-002_19.602093_80.369349,1,0.029750455170869827,FN
B,MH-002,MH-002_19.601823_80.363959,0,0.07599040865898132,TN
B,MH-002,MH-002_19.601823_80.364229,0,0.01944963075220585,TN
B,MH-002,MH-002_19.601823_80.364498,0,0.004788961261510849,TN
B,MH-002,MH-002_19.601823_80.365037,0,0.0028402332682162523,TN
B,MH-002,MH-002_19.601823_80.365307,0,0.0013143651885911822,TN
B,MH-002,MH-002_19.601823_80.365576,0,0.0017512842314317822,TN
B,MH-002,MH-002_19.601823_80.365846,0,0.0028782289009541273,TN
B,MH-002,MH-002_19.601823_80.366115,0,0.008931131102144718,TN
B,MH-002,MH-002_19.601823_80.366385,0,0.010713925585150719,TN
B,MH-002,MH-002_19.601823_80.366654,0,0.01640680991113186,TN
B,MH-002,MH-002_19.601823_80.366923,0,0.011753181926906109,TN
B,MH-002,MH-002_19.601823_80.367193,0,0.012541069649159908,TN
B,MH-002,MH-002_19.601823_80.367462,0,0.009934570640325546,TN
B,MH-002,MH-002_19.601823_80.367732,0,0.009014246053993702,TN
B,MH-002,MH-002_19.601823_80.368001,0,0.009360730648040771,TN
B,MH-002,MH-002_19.601823_80.368271,0,0.01163241732865572,TN
B,MH-002,MH-002_19.601823_80.36854,0,0.016110438853502274,TN
B,MH-002,MH-002_19.601823_80.36881,0,0.022354504093527794,TN
B,MH-002,MH-002_19.601823_80.369079,0,0.03293268755078316,TN
B,MH-002,MH-002_19.601823_80.369349,0,0.02985934540629387,TN
B,MH-002,MH-002_19.601554_80.363959,0,0.01587832160294056,TN
